id,name,weight,CR
C1,Impact économique,0.2057,0.06172842153794441
C2,Faisabilité technique,0.1183,0.06172842153794441
C3,Durabilité,0.2057,0.06172842153794441
C4,Alignement stratégique,0.4299,0.06172842153794441
C5,Complexité,0.0404,0.06172842153794441
